year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,3,3/1/2021 12:00:00 AM,OH,N506AE,5046,CLE,PHL,1215,1208,0.00,0.00,,56.00,363.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N506AE,5514,PHL,CLE,0940,0929,0.00,0.00,,74.00,363.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N509AE,5402,CAK,CLT,1018,1011,0.00,0.00,,81.00,394.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N521AE,5440,CAK,PHL,0600,0557,0.00,0.00,,52.00,335.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N528EG,5371,CLT,CAK,1819,1819,0.00,0.00,,60.00,394.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N529EA,5580,CLT,DAY,1830,1825,0.00,0.00,,65.00,370.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N530EA,5675,DAY,CLT,1023,1112,49.00,0.00,,56.00,370.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,OH,N531EG,5687,PHL,DAY,2115,2109,0.00,0.00,,91.00,477.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N532EA,5055,DAY,PHL,0615,0605,0.00,0.00,,72.00,477.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N539EA,5154,PHL,CMH,1440,1430,0.00,0.00,,77.00,406.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N539EA,5160,CMH,PHL,1708,1659,0.00,0.00,,56.00,406.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N547NN,5304,CLT,DAY,1640,1633,0.00,0.00,,65.00,370.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N551NN,5234,DAY,CLT,0630,0627,0.00,0.00,,75.00,370.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N554NN,5343,CLT,DAY,1324,1326,2.00,0.00,,63.00,370.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N555NN,5405,CLT,CLE,1513,1516,3.00,0.00,,73.00,430.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N555NN,5607,CLE,CLT,1736,1730,0.00,0.00,,81.00,430.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N563NN,5079,DAY,CLT,1342,1333,0.00,0.00,,60.00,370.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N564NN,5129,CLT,CAK,1640,1636,0.00,0.00,,67.00,394.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N583NN,5495,CAK,CLT,0630,0624,0.00,0.00,,80.00,394.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N584NN,5341,DAY,CLT,0837,0825,0.00,0.00,,75.00,370.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N593NN,5483,CLT,DAY,2013,2009,0.00,0.00,,62.00,370.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N603NN,5087,CLT,CMH,1515,1510,0.00,0.00,,59.00,347.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N603NN,5186,CMH,CLT,1730,1724,0.00,0.00,,62.00,347.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N604NN,5174,CLE,CLT,1542,1539,0.00,0.00,,89.00,430.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N604NN,5174,CLT,CLE,1323,1317,0.00,0.00,,79.00,430.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N706PS,5120,PHL,CAK,2045,2040,0.00,0.00,,72.00,335.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N706PS,5424,CLE,PHL,0600,0552,0.00,0.00,,61.00,363.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N719PS,5246,CAK,CLT,1211,1205,0.00,0.00,,66.00,394.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N719PS,5246,CLT,CAK,0940,0936,0.00,0.00,,59.00,394.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N109SY,5873,DEN,CMH,1759,1756,0.00,0.00,,147.00,1154.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N603UX,5515,DEN,CMH,1008,1001,0.00,0.00,,146.00,1154.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N603UX,5546,CMH,DEN,1700,1650,0.00,0.00,,186.00,1154.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N625UX,5457,CMH,DEN,0900,0857,0.00,0.00,,182.00,1154.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N692CA,3809,MSP,CLE,2001,1959,0.00,0.00,,72.00,622.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N803SK,3988,MSP,CLE,0830,0841,11.00,0.00,,76.00,622.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N803SK,4005,CLE,MSP,1300,1254,0.00,0.00,,107.00,622.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N809SK,3529,CLE,DTW,1415,1408,0.00,0.00,,25.00,95.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N809SK,3562,DTW,CLE,1225,1222,0.00,0.00,,22.00,95.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N829SK,3926,CLE,MSP,1627,1623,0.00,0.00,,103.00,622.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N829SK,3926,MSP,CLE,1245,1243,0.00,0.00,,77.00,622.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N839SK,3984,CLE,MSP,0826,0823,0.00,0.00,,113.00,622.00,
